Number and per 100 inhabitants"

Country or area, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005
Per 100 inhabitants, 0, 4, 4, 19, 23, 24, 27, 

Norway

Number, 2072000, 2664000, 3224000, 3593000, 37900002, 4060829, 4524750, 4754453

Per 100 inhabitants, 47, 59, 72, 79, 83, 89, 98, 103

Occupied Palestinian Terr.

Number, 100000, 117000, 175941, 300000, 320000, 480000, 974345, 1094640

Per 100 inhabitants, 3, 4, 6, 9, 9, 13, 26, 30

Oman

Number, 98000, 121000, 162000, 323000, 463000, 594000, 806280, 1333225

Per 100 inhabitants, 4, 5, 7, 13, 19, 24, 32, 52

Pakistan

Number, 196096, 265614, 306493, 742606, 1698536, 2404400, 5022908, 12771203

Per 100 inhabitants, 0, 0, 0, 1, 1, 2, 3, 8

Panama

Number, 85883, 232888, 410401, 475141, 525845, 692406, 1259948, 1351924

Per 100 inhabitants, 3, 8, 14, 16, 17, 22, 40, 52

Papua New Guinea

Number, 5558, 7059, 8560, 10700, 15000, 17500, 22000, 26000

Per 100 inhabitants, 0, 0, 0, 0, 0, 0, 1, 1

Paraguay

Number, 231520, 435611, 820810, 1150000, 1667018, 1770345, 1749048, 1887000

Per 100 inhabitants, 4, 8, 15, 20, 29, 30, 29, 31

Peru, 0, 0, 0, 0, 0, 0, 0, 

Number, 742642, 1013314, 1273857, 1793284, 2306944, 2930343, 4092558, 5583356

Per 100 inhabitants, 3, 4, 5, 7, 9, 11, 15, 20

Philippines

Number, 1733652, 2849980, 6454359, 12159163, 15383001, 22509560, 32935875, 34778995

Per 100 inhabitants, 2, 4, 8, 16, 19, 28, 40, 41

Poland

Number, 1928042, 3956500, 6747000, 10004661, 13898471, 17401222, 23096065, 29166391

Per 100 inhabitants, 5, 10, 17, 26, 36, 45, 60, 76

Portugal

Number, 3074633, 4671458, 6664951, 7977537, 8670000, 10030472, 10362120, 11447670

Per 100 inhabitants, 31, 47, 67, 77, 83, 96, 98, 109

Puerto Rico

Number, 580000, 813800, 926448, 1128736, 1800000, 1860000, 2682000, 

Per 100 inhabitants, 15, 22, 24, 29, 47, 48, 69, 

Qatar

Number, 65756, 84365, 120856, 177929, 266703, 376535, 490333, 716763

Per 100 inhabitants, 12, 15, 20, 28, 40, 53, 66, 92

Republic of Moldova

Number, 7000, 18000, 139000, 225000, 338225, 475942, 787000, 1089800

Per 100 inhabitants, 0, 0, 3, 5, 8, 11, 18, 26

Runion

Number, 50300, 111000, 276100, 421100, 454600, 521500, 579200, 

Per 100 inhabitants, 7, 16, 40, 58, 61, 69, 76, 

Romania

Number, 643000, 1355500, 2499000, 3845116, 5110591, 7039898, 10215388, 13354138

Per 100 inhabitants, 3, 6, 11, 17, 23, 32, 47, 62

Russian Federation

Number, 747160, 1370630, 3263200, 7750499, 17608756, 36135135, 73722222, 120000000

Per 100 inhabitants, 1, 1, 2, 5, 12, 25, 51, 84

Rwanda

Number, 5000, 11000, 39000, 65000, 82391, 130720, 138728, 290000

Per 100 inhabitants, 0, 0, 1, 1, 1, 2, 2, 3

Saint Kitts and Nevis

Number, 440, 700, 1200, 2100, 5000, 0, 10000, 

Per 100 inhabitants, 1, 2, 3, 5, 12, 0, 24, 

Saint Lucia

Number, 1900, 2300, 2500, 2700, 14310, 0, 93000, 105660

Per 100 inhabitants, 1, 2, 2, 2, 9, 0, 58, 66

Saint Vincent-Grenadines

Number, 750, 1420, 2361, 7492, 9982, 62911, 72000, 70620

Per 100 inhabitants, 1, 1, 2, 7, 9, 53, 60, 59

Samoa

Number, 1480, 2432, 2500, 2500, 2700, 10500, 16000, 24000

Per 100 inhabitants, 1, 1, 1, 1, 2, 6, 9, 13

San Marino

Number, 4980, 9580, 14503, 15854, 16759, 16900, 17085, 17150

Sao Tome and Principe

Number, 0, 0, 0, 0, 1980, 4819, 7745, 12000

Per 100 inhabitants, 0, 0, 0, 0, 1, 3, 5, 8

Saudi Arabia

Number, 627321, 836628, 1375881, 2528640, 5007965, 7238224, 9175764, 13300000

Per 100 inhabitants, 3, 4, 6, 11, 22, 31, 38, 58

