Country or area, 2007, 2008, 2009, 2010, 2011, 2012, 2013
Number (thousands), 495, 524, 536, 539, 560, 570, 586

Per 100 inhabitants, 14.2, 14.8, 14.8, 14.7, 15, 15, 15.2

Papua New Guinea

Number (thousands), 60, 67, 91, 121, 130, 139, 140

Per 100 inhabitants, 0.9, 1, 1.4, 1.8, 1.9, 1.9, 1.9

Paraguay

Number (thousands), 394, 370, 387, 363, 369, 411, 403

Per 100 inhabitants, 6.4, 5.9, 6.1, 5.6, 5.6, 6.2, 5.9

Peru, 0, 0, 0, 0, 0, 0, 

Number (thousands), 2844, 3075, 3549, 3160, 3250, 3415, 3420

Per 100 inhabitants, 10, 10.7, 12.3, 10.8, 11, 11.4, 11.3

Philippines

Number (thousands), 3940, 4076, 4100, 3335, 3556, 3493, 3149

Per 100 inhabitants, 4.4, 4.5, 4.5, 3.6, 3.7, 3.6, 3.2

Poland

Number (thousands), 10491, 9454, 8493, 7667, 6853, 5951, 5299

Per 100 inhabitants, 27.5, 24.8, 22.2, 20.1, 17.9, 15.6, 13.9

Portugal

Number (thousands), 4204, 4160, 4328, 4486, 4543, 4558, 4530

Per 100 inhabitants, 39.8, 39.4, 40.9, 42.4, 42.9, 43, 42.7

Puerto Rico

Number (thousands), 1013, 949, 906, 891, 826, 706, 661

Per 100 inhabitants, 27.1, 25.5, 24.4, 24, 22.3, 19.1, 17.9

Qatar

Number (thousands), 237, 266, 288, 270, 309, 394, 413

Per 100 inhabitants, 20.6, 19.6, 18.4, 15.4, 16.2, 19.2, 19

Republic of Korea

Number (thousands), 23007, 24358, 26894, 28543, 29469, 30099, 30333

Per 100 inhabitants, 48.4, 50.9, 55.8, 58.9, 60.5, 61.4, 61.6

Republic of Moldova

Number (thousands), 1080, 1115, 1139, 1161, 1180, 1206, 1221

Per 100 inhabitants, 29.4, 30.7, 31.6, 32.5, 33.3, 34.3, 35

Romania

Number (thousands), 4416, 4750, 4730, 4500, 4680, 4650, 4740

Per 100 inhabitants, 20.1, 21.6, 21.6, 20.6, 21.5, 21.4, 21.8

Russian Federation

Number (thousands), 45218, 45539, 45380, 44916, 44151, 42168, 40661

Per 100 inhabitants, 31.5, 31.7, 31.6, 31.3, 30.8, 29.5, 28.5

Rwanda

Number (thousands), 23, 17, 33, 40, 39, 44, 45

Per 100 inhabitants, 0.2, 0.2, 0.3, 0.4, 0.4, 0.4, 0.4

Saint Helena

Number (thousands), 2, 2, 2, 2, 2, 3, 3

